30000001,Tanoo,0.858324068848468,-8.8510792599980608E16,4.2369443966878896E16,-4.4513525346479696E16
30000002,Lashesih,0.751689146697987,-1.03300968263126E17,4.1707503568269904E16,-2.98563041297951E16
30000003,Akpivem,0.846292352426726,-9.1174141133075296E16,4.39382274862472E16,-5.6482824383339904E16
30000004,Jark,0.817000531228727,-9.3675926352178896E16,5.0604244962328896E16,-2.84035291069217E16
30000005,Sasta,0.814336728101234,-9.47821579619976E16,4.3126247352903296E16,-3.1896707679918E16
30000006,Zaid,0.864229153396284,-8.4792151138856192E16,5.2313455798179296E16,-5.7073934529882304E16
30000007,Yuzier,0.906555510469601,-9.0367509013110208E16,5.3447700930943296E16,-4.9040399037769904E16
30000008,Nirbhi,0.882115714763018,-9.1576103536388496E16,5.7332802739327696E16,-5.5255057964526304E16
30000009,Sooma,0.57781948156321,-8.40947311402152E16,6.9205928804160704E16,-7.52260521388288E16
30000010,Chidah,0.539052013003089,-8.05888565201208E16,6.16455572873768E16,-7.9770931668461904E16
30000011,Shenela,0.456959354735403,-6.95754633348552E16,5.7122325440514704E16,-8.0659835202844608E16
30000012,Asabona,0.322884272450518,-8.87870782997732E16,5.7530354513983696E16,-9.6309075103911504E16
30000013,Onsooh,0.442816632886763,-8.1778742628362E16,6.0252693661956896E16,-8.6635426626176704E16
30000014,Shamahi,0.355242291075942,-7.7750709738421104E16,7.1722533435110304E16,-8.7922010890003904E16
30000015,Sendaya,0.293932972095294,-7.5035885475239808E16,4.7720998612E16,-9.51724082940452E16
30000016,Nazhgete,0.391497055683935,-8.3631155296696896E16,6.3723785397160304E16,-8.9813789948513904E16
30000017,Futzchag,0.172228559767585,-6.4098583968529504E16,4.12719734655652E16,-1.01139230377519008E17
30000018,Kazna,0.231262625040188,-7.01424246912462E16,3.84885821531904E16,-9.67204101069244E16
30000019,Podion,0.109704972598651,-5.8709857801616304E16,2.60445093863922E16,-1.01528995159068E17
30000020,Lilmad,0.1604491933025,-7.2855380319923904E16,5.29099261144358E16,-1.0816527393548E17
30000021,Kuharah,0.189705283105681,-7.4379810853747808E16,3.25389695310869E16,-1.00531188490154E17
30000022,Jayneleb,0.113839956995903,-6.08394279541966E16,3.30317909502893E16,-1.05458726104476992E17
